athlete,first_200,second_200,total_time_sec,split_ratio
Nikhil Soltau,25.05,26.6,51.65,1.061876248
Rose Karow,29.25,34.47,63.72,1.178461538
Colin Hansen,23.91,27.48,51.39,1.149309912
Gavin Demas,25.17,26.8,51.97,1.064759634
Catherine McPhee,28.95,39.05,68,1.348877375
Preston Lubeski,23.42,27.98,51.4,1.19470538
Joseph Iaquaniello,23.76,28.88,52.64,1.215488215
Ervin Pearson III,23.01,25.3,48.31,1.099521947
Zoe Dorsey,26.1,29.63,55.73,1.135249042
Quincy Wilson,22.17,24.53,46.7,1.106450158
Zaya Akins,24.28,29.21,53.49,1.203047776
Christopher Miller-Harris,23.52,25.49,49.01,1.083758503
Elena Cooper,26.52,30.4,56.92,1.146304676
Jacob Andrews,21.45,25.7,47.15,1.198135198
Madison Gardner,24.85,29.21,54.06,1.175452716
Quentin Williams,23.23,25.88,49.11,1.114076625
Ay'rianna Moore,25.86,31.24,57.1,1.20804331
Shamar Heard,21.71,25.94,47.65,1.194841087
Sydney Harris,25.06,29.68,54.74,1.184357542
Furious Trammel,23.19,25.92,49.11,1.117723157
Noel Evans,25.95,31.15,57.1,1.200385356
Alexander Sadikov,22.67,25.01,47.68,1.103220115
Michelle Smith,24.93,29.91,54.84,1.199759326
Kenneth Carpenter,23.29,26.04,49.33,1.118076428
Simone Kelly,26.56,30.87,57.43,1.162274096
Darian Tarver Jr.,22.09,25.76,47.85,1.166138524
Sydney Sutton,25.1,29.95,55.05,1.193227092
Avery Atexide,22.94,26.64,49.58,1.161290323
Jaellene Burgess,26.29,31.4,57.69,1.194370483
Zyaire Nuriddin,21.43,26.79,48.22,1.250116659
Nevaeh Burns,25.73,29.91,55.64,1.162456277
Andrew Sirras,23.2,26.68,49.88,1.15
Morgan Rothwell,25.79,32.12,57.91,1.245443971
Alex (Alexander) Ornelas,22.57,25.85,48.42,1.145325654
Brooke'Lyn Drakeford,25.08,30.89,55.97,1.231658692
Caden Simmons,22.97,27.02,49.99,1.176316935
Ellise Dickinson,25.77,35.32,61.09,1.370585953
Braylyn Farrington,22.13,26.55,48.68,1.199728875
